P_e	n=1	n=2	n=5	n=10	n=20
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0100	0.0199	0.0490	0.0956	0.1821
0.0200	0.0200	0.0396	0.0961	0.1829	0.3324
0.0300	0.0300	0.0591	0.1413	0.2626	0.4562
0.0400	0.0400	0.0784	0.1846	0.3352	0.5580
0.0500	0.0500	0.0975	0.2262	0.4013	0.6415
0.0600	0.0600	0.1164	0.2661	0.4614	0.7099
0.0700	0.0700	0.1351	0.3043	0.5160	0.7658
0.0800	0.0800	0.1536	0.3409	0.5656	0.8113
0.0900	0.0900	0.1719	0.3760	0.6106	0.8484
0.1000	0.1000	0.1900	0.4095	0.6513	0.8784
0.1100	0.1100	0.2079	0.4416	0.6882	0.9028
0.1200	0.1200	0.2256	0.4723	0.7215	0.9224
0.1300	0.1300	0.2431	0.5016	0.7516	0.9383
0.1400	0.1400	0.2604	0.5296	0.7787	0.9510
0.1500	0.1500	0.2775	0.5563	0.8031	0.9612
0.1600	0.1600	0.2944	0.5818	0.8251	0.9694
0.1700	0.1700	0.3111	0.6061	0.8448	0.9759
0.1800	0.1800	0.3276	0.6293	0.8626	0.9811
0.1900	0.1900	0.3439	0.6513	0.8784	0.9852
0.2000	0.2000	0.3600	0.6723	0.8926	0.9885
0.2100	0.2100	0.3759	0.6923	0.9053	0.9910
0.2200	0.2200	0.3916	0.7113	0.9166	0.9931
0.2300	0.2300	0.4071	0.7293	0.9267	0.9946
0.2400	0.2400	0.4224	0.7464	0.9357	0.9959
0.2500	0.2500	0.4375	0.7627	0.9437	0.9968
0.2600	0.2600	0.4524	0.7781	0.9508	0.9976
0.2700	0.2700	0.4671	0.7927	0.9570	0.9982
0.2800	0.2800	0.4816	0.8065	0.9626	0.9986
0.2900	0.2900	0.4959	0.8196	0.9674	0.9989
0.3000	0.3000	0.5100	0.8319	0.9718	0.9992
0.3100	0.3100	0.5239	0.8436	0.9755	0.9994
0.3200	0.3200	0.5376	0.8546	0.9789	0.9996
0.3300	0.3300	0.5511	0.8650	0.9818	0.9997
0.3400	0.3400	0.5644	0.8748	0.9843	0.9998
0.3500	0.3500	0.5775	0.8840	0.9865	0.9998
0.3600	0.3600	0.5904	0.8926	0.9885	0.9999
0.3700	0.3700	0.6031	0.9008	0.9902	0.9999
0.3800	0.3800	0.6156	0.9084	0.9916	0.9999
0.3900	0.3900	0.6279	0.9155	0.9929	0.9999
0.4000	0.4000	0.6400	0.9222	0.9940	1.0000
0.4100	0.4100	0.6519	0.9285	0.9949	1.0000
0.4200	0.4200	0.6636	0.9344	0.9957	1.0000
0.4300	0.4300	0.6751	0.9398	0.9964	1.0000
0.4400	0.4400	0.6864	0.9449	0.9970	1.0000
0.4500	0.4500	0.6975	0.9497	0.9975	1.0000
0.4600	0.4600	0.7084	0.9541	0.9979	1.0000
0.4700	0.4700	0.7191	0.9582	0.9983	1.0000
0.4800	0.4800	0.7296	0.9620	0.9986	1.0000
0.4900	0.4900	0.7399	0.9655	0.9988	1.0000
0.5000	0.5000	0.7500	0.9688	0.9990	1.0000
0.5100	0.5100	0.7599	0.9718	0.9992	1.0000
